OrderID,DateKey,CustomerID,RestaurantID,DeliveryPartnerID,Quantity,OrderAmount,DeliveryFee,Discount,DeliveryTime,CustomerRating,OrderStatus
50001,20240412,1229,2096,3084,5,1111.25,64.89,37.6,47,4.3,Delivered
50002,20250311,1537,2063,3149,4,2114.38,50.13,144.76,19,,Cancelled
50003,20240927,1793,2106,3126,1,893.03,44.26,0.0,42,3.1,Delivered
50004,20240416,1306,2027,3116,2,1135.0,60.89,0.0,49,3.6,Delivered
50005,20240312,1352,2001,3014,4,2062.36,57.91,45.16,61,3.9,Delivered
50006,20251201,1257,2115,3025,5,3953.82,47.15,0.0,42,3.7,Delivered
50007,20240121,1443,2039,3069,3,1171.09,69.4,0.0,40,4.2,Delivered
50008,20250906,1389,2061,3147,3,1306.29,41.78,118.47,21,3.5,Delivered
50009,20240501,1279,2055,3118,3,1783.2,34.82,0.0,39,4.1,Delivered
50010,20250411,1606,2005,3144,1,495.68,73.59,218.57,35,3.9,Delivered
50011,20240802,1289,2040,3014,1,889.32,52.22,0.0,49,4.4,Delivered
50012,20241126,1257,2114,3090,3,1567.65,25.83,206.64,37,3.9,Delivered
50013,20250403,1172,2097,3111,4,2506.33,70.27,0.0,31,3.1,Delivered
50014,20240328,1183,2119,3083,5,2257.6,20.98,71.95,55,3.7,Delivered
50015,20250107,1072,2013,3130,1,574.82,37.58,0.0,22,3.6,Delivered
50016,20240409,1283,2008,3099,3,1424.05,41.15,0.0,57,4.3,Delivered
50017,20251025,1727,2001,3072,5,1427.25,71.08,24.28,54,4.3,Delivered
50018,20240510,1535,2089,3142,4,1403.81,70.43,166.72,45,4.5,Delivered
50019,20251023,1447,2020,3106,1,541.7,24.78,0.0,61,4.7,Delivered
50020,20241104,1093,2004,3068,4,1555.96,28.23,0.0,44,3.6,Delivered
50021,20241209,1384,2004,3113,2,684.67,22.38,0.0,30,4.6,Delivered
50022,20250506,1346,2115,3103,3,1494.36,57.05,0.0,20,3.5,Delivered
50023,20250217,1215,2025,3013,1,343.8,26.44,204.81,20,,Cancelled
50024,20250120,1194,2075,3147,4,2946.7,35.4,32.73,37,4.8,Delivered
50025,20240710,1664,2079,3088,4,3290.32,40.8,174.48,64,3.5,Delivered
50026,20241003,1011,2043,3015,5,3504.3,68.88,234.58,51,4.8,Delivered
50027,20240609,1778,2047,3073,2,1199.73,69.1,0.0,65,4.5,Delivered
50028,20250404,1052,2094,3065,2,1703.25,28.92,0.0,35,3.5,Delivered
50029,20241109,1017,2082,3138,5,959.72,22.34,142.7,52,4.4,Delivered
50030,20240122,1229,2095,3038,3,2428.73,61.52,0.0,37,4.9,Delivered
50031,20240909,1743,2006,3070,5,880.54,18.55,190.07,60,4.1,Delivered
50032,20250714,1104,2076,3053,3,1887.64,59.54,181.14,52,4.7,Delivered
50033,20250419,1375,2067,3054,4,623.6,74.67,240.97,37,4.6,Delivered
50034,20240228,1276,2096,3031,2,746.13,43.52,0.0,38,4.5,Delivered
50035,20250525,1135,2066,3105,4,2967.95,65.66,0.0,49,3.8,Delivered
50036,20251112,1266,2008,3039,3,2064.12,68.59,221.66,62,3.1,Delivered
50037,20250420,1668,2095,3037,4,2406.35,44.46,207.09,19,4.3,Delivered
50038,20251130,1631,2014,3043,2,1245.23,41.04,0.0,58,4.2,Delivered
50039,20240708,1463,2034,3052,1,268.37,68.99,138.76,26,4.4,Delivered
50040,20251117,1101,2058,3076,3,1465.85,26.28,0.0,55,4.6,Delivered
50041,20250716,1751,2106,3106,2,426.6,39.53,0.0,54,4.9,Delivered
50042,20250720,1381,2094,3023,5,3176.65,78.32,164.12,30,4.7,Delivered
50043,20240831,1447,2084,3061,1,450.78,20.79,0.0,41,4.1,Delivered
50044,20250519,1168,2076,3016,1,688.94,44.49,120.09,61,3.4,Delivered
50045,20240510,1278,2115,3057,2,585.82,33.72,218.25,49,3.9,Delivered
50046,20250429,1574,2008,3107,2,1200.12,59.02,0.0,44,4.6,Delivered
50047,20251008,1466,2044,3090,1,367.64,73.98,80.21,41,4.3,Delivered
50048,20240121,1584,2037,3030,1,157.74,60.05,0.0,61,3.8,Delivered
50049,20240615,1359,2060,3057,4,2808.31,18.82,0.0,39,3.9,Delivered
50050,20240930,1365,2061,3031,3,2692.66,53.89,236.04,65,3.0,Delivered
50051,20250122,1269,2008,3131,5,3073.72,39.11,0.0,53,3.4,Delivered
50052,20250823,1789,2104,3034,2,1055.62,23.57,233.98,38,3.9,Delivered
50053,20241111,1480,2055,3015,3,712.89,71.66,0.0,35,4.9,Delivered
50054,20240114,1096,2037,3109,3,2481.28,75.24,80.54,51,4.8,Delivered
50055,20240829,1353,2025,3083,3,2107.96,51.12,132.99,60,3.9,Delivered
50056,20241211,1225,2094,3118,2,522.93,31.91,0.0,63,3.2,Delivered
50057,20250718,1482,2113,3079,4,722.38,46.54,102.0,49,4.4,Delivered
50058,20241205,1590,2100,3107,2,485.48,26.74,41.52,28,4.6,Delivered
